"","title","release_year","age_certification","runtime","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"89","The Little Wars",-4.24131872718998,"",0.211586299056911,6.3,-0.259180186894175,-0.241481279387355,-0.961578178788749,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"90","Unspeakable Acts",-3.22942106077408,"",-0.0836783278553859,6.1,-0.256348338944648,-0.240034828479016,-1.1617423676294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Mission: Impossible",-2.47049781096215,"PG-13",0.285402455784985,7.1,3.55765164510302,0.234498309853281,0.439571143095789,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"94","Se7en",-2.59698501926414,"R",0.912839787973615,8.6,14.3186466239992,0.362345122070984,1.89276315407889,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"96","Boogie Nights",-2.34401060266016,"R",1.98317406053069,7.9,2.11349995520151,-0.0168559618571076,1.14014580403806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","Forrest Gump",-2.72347222756613,"PG-13",1.46646096343417,8.8,18.0860300341085,0.505969188734263,2.0188665930485,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"98","Snatch",-1.9645489777542,"R",0.0270459072367253,8.3,7.37667089811252,0.0410871598239903,1.34030999287871,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"99","The Talented Mr. Ripley",-2.09103618605619,"R",1.35573672834206,7.4,1.62301844448196,-0.0977599723268764,0.739817426356761,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"102","Titanic",-2.34401060266016,"PG-13",3.3856810383641,7.9,10.148523607427,1.62707803814362,1.41837402652656,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"104","Starship Troopers",-2.34401060266016,"R",0.986655944701689,7.3,2.38478554290477,0.0933174081696327,0.53264749090669,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"105","Mission: Impossible II",-1.9645489777542,"PG-13",0.765207474517467,6.1,2.8071574798639,0.092004662807443,-0.361085612266804,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"106","Dumb and Dumber",-2.72347222756613,"PG-13",0.174678220692874,7.3,3.18847669799062,0.12190608494621,0.139324859834816,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","Gattaca",-2.34401060266016,"PG-13",0.137770142328837,7.8,2.46873349702393,-0.0490303782804066,1.0931072196605,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"109","Léon: The Professional",-2.72347222756613,"R",0.322310534149022,8.5,10.0625879138817,0.359585925800455,1.863739346697,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"111","Natural Born Killers",-2.72347222756613,"R",0.580667082697281,7.3,-0.260459964332904,0.0013401474688004,0.639735331936437,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"112","The Quick and the Dead",-2.59698501926414,"R",0.174678220692874,6.5,0.590510344500019,-0.106560228273408,0.0392427654144923,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
"113","You've Got Mail",-2.21752339435817,"PG",0.617575161061318,6.7,1.66033167179127,-0.00120025790802978,0.182360160435556,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"115","Big Daddy",-2.09103618605619,"PG-13",-0.342034876403645,6.4,1.69135492913577,0.0610822164980842,-0.0107982817956696,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","Vampires",-2.21752339435817,"R",0.0639539856007624,6.1,0.271954679485416,-0.142393314641328,-0.160921423426156,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"118","Donnie Brasco",-2.34401060266016,"R",0.912839787973615,7.7,2.49747856899878,0.00488942196657272,1.04006370961773,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"122","A River Runs Through It",-2.9764466441701,"PG",0.765207474517467,7.2,0.282701179396442,-0.0272606843574265,0.639735331936437,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","Girl, Interrupted",-2.09103618605619,"R",0.912839787973615,7.3,1.40182570560383,-0.0170018224529065,1.14014580403806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"124","Last Action Hero",-2.84995943586811,"PG-13",1.06047210142976,6.4,1.10542562021998,0.00453692552672547,-0.0818565688341003,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"126","My Girl",-3.10293385247209,"PG",0.0270459072367253,6.9,0.470910150811173,-0.0155310614452679,0.93998161519741,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"127","Wyatt Earp",-2.72347222756613,"PG-13",3.27495680327199,6.7,0.200287142916613,-0.0868568927909114,0.290448822409506,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"128","Eraser",-2.47049781096215,"R",0.46994284760517,6.1,0.746207523109601,-0.0289988564573629,-0.461167706687128,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"129","Neon Genesis Evangelion: The End of Evangelion",-2.34401060266016,"",-0.563483346587868,8,0.221870907096022,0.130621255545192,1.94080255940065,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
"130","Vegas Vacation",-2.34401060266016,"PG",-0.305126798039608,5.9,0.18760736219389,-0.112868699041708,-0.361085612266804,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
